pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
Kepler-1167 b,Kepler-1167,Kepler,1.003933739,1.71,4971.0,0.75,-0.53589,0.79
Kepler-1740 b,Kepler-1740,Kepler,8.172400475,3.32321414,5705.0,0.905,-0.07942,0.943
Kepler-1581 b,Kepler-1581,Kepler,6.28385491,0.8,6022.0,1.23,0.39085,1.12
Kepler-644 b,Kepler-644,Kepler,3.173917103,3.15,6747.0,1.81,0.71041,1.49
Kepler-1752 b,Kepler-1752,Kepler,56.35850143,4.54060463,5446.0,0.821,-0.39819,0.824
Kepler-280 c,Kepler-280,Kepler,4.807091,2.01,5744.0,0.886,-0.06437,0.962
Kepler-1208 b,Kepler-1208,Kepler,11.08507637,2.32,5001.0,0.76,-0.55349,0.8
Kepler-263 c,Kepler-263,Kepler,47.332773,2.47,5265.0,0.785,-0.45614,0.793
Kepler-1101 b,Kepler-1101,Kepler,81.3151059,2.47,5614.0,0.91,-0.35135,0.94
Kepler-560 b,Kepler-560,Kepler,18.47764449,1.72,3556.0,0.33,-1.717,0.34
Kepler-150 d,Kepler-150,Kepler,12.56093,2.79,5560.0,0.939,-0.16141,0.956
Kepler-498 b,Kepler-498,Kepler,9.61375356,3.03,5744.0,0.96,0.17242,0.98
Kepler-817 b,Kepler-817,Kepler,3.990106229,9.03,5861.0,1.03,0.08609,1.03
Kepler-937 b,Kepler-937,Kepler,67.668827,3.72,6095.0,1.22,0.28097,1.15
Kepler-571 b,Kepler-571,Kepler,4.798599388,2.64,5527.0,0.9,-0.22253,0.93
Kepler-1458 b,Kepler-1458,Kepler,47.9872764,2.76,5653.0,0.94,-0.24032,0.96
Kepler-1600 c,Kepler-1600,Kepler,7.298049927,1.94206512,5119.0,0.834,-0.33945,0.818
Kepler-221 d,Kepler-221,Kepler,10.04156,2.73,5243.0,0.821,-0.40429,0.854
Kepler-626 b,Kepler-626,Kepler,14.48585199,2.29,5813.0,1.05,-0.04194,1.01
Kepler-1549 b,Kepler-1549,Kepler,214.886545,2.57,5324.0,0.84,-0.27333,0.88
Kepler-1149 b,Kepler-1149,Kepler,3.73089898,1.44,5833.0,1.01,0.16546,1.02
Kepler-1288 b,Kepler-1288,Kepler,2.76122421,1.12,6132.0,1.29,0.30207,1.2
Kepler-128 b,Kepler-128,Kepler,15.0,1.421,6072.0,1.659,0.57542,1.184
Kepler-1245 b,Kepler-1245,Kepler,4.35409304,1.44,5306.0,0.83,-0.41093,0.86
Kepler-1068 b,Kepler-1068,Kepler,16.92344113,3.63,5806.0,1.01,-0.02521,1.01
Kepler-311 c,Kepler-311,Kepler,19.738286,1.43,5905.0,1.188,0.19328,0.994
Kepler-150 e,Kepler-150,Kepler,30.826557,3.12,5560.0,0.939,-0.16141,0.956
Kepler-272 c,Kepler-272,Kepler,6.057342,1.79,5297.0,0.929,0.06634,0.91
Kepler-152 c,Kepler-152,Kepler,88.255055,2.39,5088.0,0.724,-0.46488,0.779
Kepler-1506 b,Kepler-1506,Kepler,14.0329154,1.32,5676.0,0.93,0.42561,0.95
Kepler-595 c,Kepler-595,Kepler,12.38602,1.009,5138.5,0.821,-0.34768,0.93
Kepler-595 b,Kepler-595,Kepler,25.3029092,3.708,5138.5,0.821,-0.34768,0.93
Kepler-45 b,Kepler-45,Kepler,2.455239,10.76,3820.0,0.55,-1.27572,0.59
HD 221416 b,HD 221416,Transiting Exoplanet Survey Satellite (TESS),14.2767,9.17,5080.0,2.943,0.71181,1.212
Kepler-18 c,Kepler-18,Kepler,7.64159,5.49,5345.0,1.108,-0.031,0.972
Kepler-18 b,Kepler-18,Kepler,3.504725,2.0,5345.0,1.108,-0.031,0.972
Kepler-4 b,Kepler-4,Kepler,3.21346,4.002,5857.0,1.487,0.354,1.223
Kepler-18 d,Kepler-18,Kepler,14.85888,6.98,5345.0,1.108,-0.031,0.972
Kepler-419 c,Kepler-419,Kepler,675.47,12.6,6430.0,1.74,0.7268,1.39
Kepler-419 b,Kepler-419,Kepler,69.7546,10.8,6430.0,1.74,0.7268,1.39
Kepler-59 c,Kepler-59,Kepler,17.9801235,1.98,6074.0,0.94,0.32374,1.04
Kepler-58 c,Kepler-58,Kepler,15.5741568,2.86,5843.0,1.03,-0.00422,0.95
KOI-217 b,KOI-217,Kepler,3.90512,12.442,5545.0,0.86,-0.16872,0.95
Kepler-51 c,Kepler-51,Kepler,85.312,9.0,6018.0,0.94,-0.1417,1.04
Kepler-62 c,Kepler-62,Kepler,12.4417,0.54,4925.0,0.64,-0.678,0.69
Kepler-62 b,Kepler-62,Kepler,5.714932,1.31,4925.0,0.64,-0.678,0.69
Kepler-59 b,Kepler-59,Kepler,11.8681707,1.1,6074.0,0.94,0.32374,1.04
Kepler-53 b,Kepler-53,Kepler,18.6489525,2.89,5858.0,0.89,0.03558,0.98
Kepler-69 b,Kepler-69,Kepler,13.722341,2.24,5638.0,0.93,-0.097,0.81
Kepler-37 e,Kepler-37,Kepler,51.196,0.37,5288.0,0.772,-0.32187,0.8
Kepler-65 d,Kepler-65,Kepler,8.13123,1.52,6211.0,1.41,0.4674,1.25
Kepler-52 c,Kepler-52,Kepler,16.3850021,1.84,4075.0,0.52,-0.99568,0.54
Kepler-55 b,Kepler-55,Kepler,27.9481449,2.43,4362.0,0.58,-0.76324,0.62
Kepler-413 b,Kepler-413,Kepler,66.262,4.347,4700.0,0.7761,-0.42994,0.82
KOI-55 b,KOI-55,Kepler,0.240104,0.759,27730.0,0.203,1.36,0.496
KOI-55 c,KOI-55,Kepler,0.342887,0.867,27730.0,0.203,1.36,0.496
Kepler-38 b,Kepler-38,Kepler,105.599,4.3,5623.0,1.752,0.49161,0.941
Kepler-30 d,Kepler-30,Kepler,143.34394,8.8,5498.0,0.95,-0.23658,0.99
Kepler-50 c,Kepler-50,Kepler,9.37647,2.17,6225.0,1.58,0.53582,1.24
Kepler-63 b,Kepler-63,Kepler,9.4341505,6.11,5576.0,0.901,-0.157,0.984
Kepler-77 b,Kepler-77,Kepler,3.57878087,10.761,5520.0,0.99,-0.046,0.95
Kepler-186 b,Kepler-186,Kepler,3.8867907,1.07,3788.0,0.472,-1.385,0.478
Kepler-27 c,Kepler-27,Kepler,31.3309,4.9,5400.0,0.59,-0.32941,0.65
Kepler-27 b,Kepler-27,Kepler,15.3348,4.0,5400.0,0.59,-0.32941,0.65
Kepler-186 d,Kepler-186,Kepler,13.342996,1.4,3788.0,0.472,-1.385,0.478
Kepler-11 d,Kepler-11,Kepler,22.6845,3.12,5663.0,1.065,0.1202,0.961
Kepler-11 b,Kepler-11,Kepler,10.3039,1.8,5663.0,1.065,0.1202,0.961
Kepler-31 c,Kepler-31,Kepler,42.6318,5.3,6340.0,1.22,0.30134,1.21
Kepler-32 c,Kepler-32,Kepler,8.7522,2.0,3900.0,0.53,-1.29243,0.58
Kepler-1735 b,Kepler-1735,Kepler,7.71792984,1.19429134,3975.0,0.509,-1.19302,0.535
Kepler-32 d,Kepler-32,Kepler,22.7802,2.7,3900.0,0.53,-1.29243,0.58
Kepler-31 d,Kepler-31,Kepler,87.6451,3.9,6340.0,1.22,0.30134,1.21
Kepler-31 b,Kepler-31,Kepler,20.8613,5.5,6340.0,1.22,0.30134,1.21
Kepler-32 f,Kepler-32,Kepler,0.74296,0.82,3900.0,0.53,-1.29243,0.58
Kepler-134 c,Kepler-134,Kepler,10.105785,1.26,5983.0,1.176,0.06051,0.956
Kepler-210 b,Kepler-210,Kepler,2.453234,2.94,4559.0,0.65,-0.79874,0.77
Kepler-422 b,Kepler-422,Kepler,7.8914483,12.89,5972.0,1.24,0.24,1.15
Kepler-426 b,Kepler-426,Kepler,3.21751883,12.22,5725.0,0.92,-0.089,0.91
Kepler-16 b,Kepler-16,Kepler,228.776,8.4493,4450.0,0.6489,-0.90301,0.6897
KOI-94 d,KOI-94,Kepler,22.342989,11.27,6182.0,1.52,0.479,1.277
KOI-94 b,KOI-94,Kepler,3.743208,1.71,6182.0,1.52,0.479,1.277
Kepler-35 b,Kepler-35,Kepler,131.458,8.16,5606.0,1.0284,-0.027,0.8877
Kepler-415 c,Kepler-415,Kepler,8.708,2.01,4362.0,0.643,-0.80504,0.67
Kepler-428 b,Kepler-428,Kepler,3.52563254,12.11,5150.0,0.8,-0.39,0.87
Kepler-425 b,Kepler-425,Kepler,3.79701816,10.962,5170.0,0.86,-0.323,0.93
KOI-94 e,KOI-94,Kepler,54.32031,6.56,6182.0,1.52,0.479,1.277
Kepler-396 c,Kepler-396,Kepler,88.505,5.3,5656.0,1.06,-0.13461,0.85
Kepler-122 f,Kepler-122,Kepler,56.268,1.75,5917.0,0.949,0.26993,1.03
